Lengua,Estado,Municipio,Localidad,HLI,Hombres,Mujeres,Latitud ,Longitud
amuzgo,Guerrero,Xochistlahuaca,Loma de Piedra Azul,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Loma del Rayo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Loma Lucero,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Loma Nanche del Zorro,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Los Liros,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Luis Donaldo Colosio Murrieta,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Manantial Mojarra,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Mojoneras Setenta y Cuatro,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Parota Quemada,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Piedra de Sepulcro (Piedra Sepultada),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Piedra Pesada,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Plan de Arroyo Limón,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Plan de Guadalupe,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Plan de los Muertos,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Plan de Pierna,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Plan Lagarto,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Plan Maguey I,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Plan Maguey II,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Rancho Cornelio López (Arroyo Chacale),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Rancho del Cura Ejido,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Rancho del Cura Tejería,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Rancho las Tortolitas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Rancho Rey Francisco Sandoval,as,as,as,sin datos ,sin datos 
